Date_Time,Sentence,Result,Feedback
2026-02-28 02:33,i was,✅ BROWBAR,✅ एकदम बरोबर! 'i' सोबत 'was' च येतो.
2026-02-28 03:22,hello guys my name is kunal,❌ CHUKLA,🔍 हा शब्द माझ्या Auxiliary Verbs च्या यादीत नाही.
2026-02-28 03:22,what is your question,❌ CHUKLA,"🚩 चूक! 'what' सोबत 'is' येत नाही. नियमानुसार ['he', 'she', 'it', 'this', 'that', 'kunal', 'boy', 'girl', 'car', 'teacher'] यांच्यासोबत 'is' येतो."
2026-02-28 03:22,what is your question,❌ CHUKLA,"🚩 चूक! 'what' सोबत 'is' येत नाही. नियमानुसार ['he', 'she', 'it', 'this', 'that', 'kunal', 'boy', 'girl', 'car', 'teacher'] यांच्यासोबत 'is' येतो."
2026-02-28 03:23,what is your name,❌ CHUKLA,"🚩 चूक! 'what' सोबत 'is' येत नाही. नियमानुसार ['he', 'she', 'it', 'this', 'that', 'kunal', 'boy', 'girl', 'car', 'teacher'] यांच्यासोबत 'is' येतो."
2026-02-28 03:29,what is your name,❌ CHUKLA,"❌ वाक्यात काही चुका आहेत:
------------------------------
🚩 Subject-Verb चूक: 'What' सोबत 'is' येत नाही.
📚 शब्दांच्या जाती (Parts of Speech): is (Verb)"
2026-02-28 03:32,my name is kunal,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): name (Noun), my (Pronoun), kunal (Noun), is (Verb)"
2026-02-28 03:33,what is your name,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ प्रश्नाची रचना बरोबर: 'What' (Wh-word) + 'is' (Auxiliary verb).
📚 शब्दांच्या जाती (Parts of Speech): what (wh_words), your (Pronoun), name (Noun), is (Verb)"
2026-02-28 03:33,group is visible now,❌ CHUKLA,"❌ वाक्यात काही चुका आहेत:
------------------------------
🚩 Subject-Verb चूक: 'Group' सोबत 'is' येत नाही.
📚 शब्दांच्या जाती (Parts of Speech): is (Verb)"
2026-02-28 03:39,tell me bro,✅ right,✅ वाक्य व्याकरणदृष्ट्या योग्य वाटत आहे!
2026-02-28 03:39,what is your name,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ प्रश्नाची रचना बरोबर: 'What' (Wh-word) + 'is' (Auxiliary verb).
📚 शब्दांच्या जाती (Parts of Speech): is (Verb), your (Pronoun), what (wh_words), name (Noun)"
2026-02-28 03:39,hi,❌ CHUKLA,"❌ कृपया किमान दोन शब्द टाका. (उदा. I am, What is)"
2026-02-28 03:40,my name is kunal,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): name (Noun), kunal (Noun), my (Pronoun), is (Verb)"
2026-02-28 03:41,tell me your name,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): your (Pronoun), name (Noun)"
2026-02-28 03:41,what is your concern,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ प्रश्नाची रचना बरोबर: 'What' (Wh-word) + 'is' (Auxiliary verb).
📚 शब्दांच्या जाती (Parts of Speech): your (Pronoun), is (Verb), what (wh_words)"
2026-02-28 03:42,this is my book,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ Subject-Verb Agreement: 'This' सोबत 'is' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): is (Verb), this (Pronoun), my (Pronoun)"
2026-02-28 03:42,that are my book,❌ CHUKLA,"❌ वाक्यात काही चुका आहेत:
------------------------------
🚩 Subject-Verb चूक: 'That' सोबत 'are' येत नाही.
📚 शब्दांच्या जाती (Parts of Speech): my (Pronoun), are (Verb), that (Pronoun)"
2026-02-28 03:42,that is my book,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ Subject-Verb Agreement: 'That' सोबत 'is' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): my (Pronoun), is (Verb), that (Pronoun)"
2026-02-28 03:44,fill your details,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): your (Pronoun)"
2026-02-28 03:51,hello my name is kunal,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): kunal (Noun), is (Verb), my (Pronoun), name (Noun)"
2026-02-28 03:52,tell me bro,✅ right,✅ वाक्य व्याकरणदृष्ट्या योग्य वाटत आहे!
2026-02-28 03:52,what is your problem,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ प्रश्नाची रचना बरोबर: 'What' (Wh-word) + 'is' (Auxiliary verb).
📚 शब्दांच्या जाती (Parts of Speech): your (Pronoun), is (Verb), what (wh_words)"
2026-02-28 04:04,"what is the data ,data is driven by row value",✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ प्रश्नाची रचना बरोबर: 'What' (Wh-word) + 'is' (Auxiliary verb).
📚 शब्दांच्या जाती (Parts of Speech): by (Preposition), what (wh_words), is (Verb)"
2026-02-28 04:06,hi what is yuour name,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): name (Noun), is (Verb), what (wh_words)"
2026-02-28 04:09,my name is kunal,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): is (Verb), kunal (Noun), my (Pronoun), name (Noun)"
2026-02-28 16:22,hello my name is kunal,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): is (Verb), kunal (Noun), my (Pronoun), name (Noun)"
2026-02-28 16:22,tell me your name,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
📚 शब्दांच्या जाती (Parts of Speech): your (Pronoun), name (Noun)"
2026-02-28 16:22,it was ridiculous,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ Subject-Verb Agreement: 'It' सोबत 'was' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): it (Pronoun), was (Verb)"
2026-02-28 16:22,i had complete a data,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ Subject-Verb Agreement: 'I' सोबत 'had' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): i (Pronoun)"
2026-02-28 16:23,i had complete processing to this data,✅ right,"✅ मुख्य व्याकरण बरोबर आहे!
------------------------------
✅ Subject-Verb Agreement: 'I' सोबत 'had' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): to (Preposition), this (Pronoun), i (Pronoun)"
2026-02-28 16:29,so my name is kunal,✅ right,"
💡 असे असायला हवे होते: So my name is kunal"
2026-02-28 16:30,what is your name,✅ right,✅ मुख्य व्याकरण बरोबर आहे!
2026-02-28 16:31,this is my book,✅ right,✅ मुख्य व्याकरण बरोबर आहे!
2026-02-28 16:31,he should be follow rule,✅ right,✅ मुख्य व्याकरण बरोबर आहे!
2026-02-28 16:32,i was there and that time he had already completed task,✅ right,✅ मुख्य व्याकरण बरोबर आहे!
2026-02-28 16:39,i was there and that time he had already completed task,❌ CHUKLA,"❌ वाक्यात काही चुका आहेत:
------------------------------
🚩 Articles चा अभाव: 'Task' हे मोजता येणारे नाम आहे, त्याआधी 'the' किंवा 'a' लावा.
✅ Subject-Verb Agreement: 'I' सोबत 'was' अगदी बरोबर आहे.
📚 शब्दांच्या जाती (Parts of Speech): that (Pronoun), and (Conjunction), was (Verb), i (Pronoun), he (Pronoun)
------------------------------
💡 असे असायला हवे होते: I was there and at that time he had already completed the task

🎓 शिकण्यासाठी टिप्स:
🔹 नियम: जेव्हा आपण एखाद्या ठराविक कामाबद्दल बोलतो, तेव्हा 'The' वापरतात.
🔹 टीप: वेळेचा उल्लेख करताना 'At that time' किंवा 'By that time' वापरणे अधिक नैसर्गिक वाटते.
🔹 काळ: हे वाक्य 'Past Perfect Tense' मध्ये आहे. भूतकाळातील दोन घटनांपैकी पहिली पूर्ण झालेली घटना सांगण्यासाठी 'Had + V3' वापरतात."
